atl_food_place_id,atl_food_place_title,menu_item_id,title,calories,protein_g,carbs_g,fat_g,cholesterol_mg,sodium_mg,nutrition_score
2,Gusto! Healthy Bowls & Wraps (West End),92,Queso Verde Queso | Mixed Greens| Grilled Spicy Chicken,334.0,43.0,16.0,12.0,175.0,1240.0,3.04
2,Gusto! Healthy Bowls & Wraps (West End),88,Queso Verde Queso | Mixed Greens| Grilled Chicken,334.0,42.0,14.0,13.0,175.0,1159.0,3.02
2,Gusto! Healthy Bowls & Wraps (West End),112,Sweet Soy Sriracha | Mixed Greens| Grilled Spicy Chicken,363.0,44.0,18.0,15.0,173.0,1242.0,2.92
2,Gusto! Healthy Bowls & Wraps (West End),108,Sweet Soy Sriracha | Mixed Greens| Grilled Chicken,363.0,43.0,16.0,16.0,173.0,1161.0,2.91
2,Gusto! Healthy Bowls & Wraps (West End),60,Tahini Cucumber Feta | Mixed Greens| Grilled Shrimp,339.0,25.0,22.0,17.0,163.0,1859.0,2.87
2,Gusto! Healthy Bowls & Wraps (West End),93,Queso Verde Queso | Half & Half | Grilled Spicy Chicken,416.0,44.0,35.0,12.0,175.0,1341.0,2.83
2,Gusto! Healthy Bowls & Wraps (West End),100,Queso Verde Queso | Mixed Greens| Grilled Shrimp,194.0,18.0,14.0,7.0,148.0,1459.0,2.82
2,Gusto! Healthy Bowls & Wraps (West End),89,Queso Verde Queso | Half & Half | Grilled Chicken,416.0,43.0,33.0,13.0,175.0,1260.0,2.82
2,Gusto! Healthy Bowls & Wraps (West End),140,Ginger Lime Peanut | Mixed Greens| Grilled Shrimp,263.0,21.0,15.0,14.0,143.0,1401.0,2.79
2,Gusto! Healthy Bowls & Wraps (West End),132,Ginger Lime Peanut | Mixed Greens| Grilled Spicy Chicken,403.0,46.0,17.0,19.0,170.0,1182.0,2.79
2,Gusto! Healthy Bowls & Wraps (West End),128,Ginger Lime Peanut | Mixed Greens| Grilled Chicken,403.0,45.0,15.0,20.0,170.0,1101.0,2.78
2,Gusto! Healthy Bowls & Wraps (West End),120,Sweet Soy Sriracha | Mixed Greens| Grilled Shrimp,223.0,19.0,16.0,10.0,146.0,1461.0,2.78
2,Gusto! Healthy Bowls & Wraps (West End),152,Polynesian Chili Mango  | Mixed Greens| Grilled Spicy Chicken,429.0,45.0,22.0,20.0,170.0,1150.0,2.71
2,Gusto! Healthy Bowls & Wraps (West End),113,Sweet Soy Sriracha | Half & Half | Grilled Spicy Chicken,445.0,45.0,37.0,15.0,173.0,1343.0,2.71
2,Gusto! Healthy Bowls & Wraps (West End),109,Sweet Soy Sriracha | Half & Half | Grilled Chicken,445.0,44.0,35.0,16.0,173.0,1262.0,2.7
2,Gusto! Healthy Bowls & Wraps (West End),148,Polynesian Chili Mango  | Mixed Greens| Grilled Chicken,429.0,44.0,20.0,21.0,170.0,1069.0,2.7
2,Gusto! Healthy Bowls & Wraps (West End),101,Queso Verde Queso| Half & Half | Grilled Shrimp,276.0,19.0,33.0,7.0,148.0,1560.0,2.69
2,Gusto! Healthy Bowls & Wraps (West End),61,Tahini Cucumber Feta | Half & Half | Grilled Shrimp,421.0,26.0,41.0,17.0,163.0,1960.0,2.67
